Countries,all,male,female
Japan,84.62,81.64,87.74
Singapore,83.74,81.5,86.1
South Korea,83.43,80.5,86.5
Norway,83.21,81.6,84.9
Australia,83.2,81.2,85.3
Switzerland,83.1,81.1,85.2
Iceland,83.07,81.7,84.5
Israel,82.7,80.7,84.8
Malta,82.65,80.8,84.6
Sweden,82.41,80.7,84.2
Italy,82.34,80.1,84.7
Spain,82.33,79.7,85.1
Ireland,82.2,80.4,84.1
France,82.18,79.2,85.3
Finland,82.13,79.4,85
New Zealand,82.06,80.3,83.9
Bermuda,82.06,78.3,86
Liechtenstein,81.81,80.1,83.6
Canada,81.75,79.7,83.9
Luxembourg,81.74,79.4,84.2
Denmark,81.55,79.6,83.6
Netherlands,81.41,79.8,83.1
Austria,81.19,78.9,83.6
Cyprus,81.14,79.1,83.15
Greece,81.09,78.6,83.7
Portugal,80.98,78,84.1
Germany,80.94,78.6,83.4
United Kingdom,80.9,79,82.9
Belgium,80.8,78.6,83.1
Slovenia,80.53,77.8,83.4
Costa Rica,80.47,77.95,83.05
Qatar,80.36,79.31,82.15
Chile,80.33,77.99,82.52
Guam,80.28,77.05,83.7
Puerto Rico,80.09,76.73,83.62
Barbados,79.31,77.96,80.58
Maldives,79.21,77.82,81.04
Lebanon,79,77.22,80.93
Cuba,78.89,76.94,80.86
Albania,78.69,77.16,80.26
Panama,78.68,75.62,81.9
Estonia,78.35,74.2,82.7
Czech Republic,78.23,75.3,81.3
United Arab Emirates,78.12,77.44,79.46
Oman,78.08,75.56,80.53
Uruguay,78.06,74.29,81.59
Turkey,77.93,74.98,80.77
French Polynesia,77.84,75.81,80.06
Croatia,77.72,74.7,80.9
Bosnia and Herzegovina,77.55,75.05,79.99
Colombia,77.46,74.72,80.17
Bahrain,77.42,76.56,78.56
Thailand,77.34,73.68,81.06
United States,77.28,74.5,80.2
Seychelles,77.24,72.7,82
Ecuador,77.22,74.5,80.02
Antigua and Barbuda,77.15,75.98,78.23
Sri Lanka,77.14,73.78,80.4
China,77.1,74.95,79.41
Algeria,77.06,75.86,78.32
Peru,76.95,74.29,79.71
Morocco,76.9,75.65,78.12
Tunisia,76.89,74.88,78.9
Iran,76.87,75.78,78.09
Slovakia,76.87,73.5,80.4
Argentina,76.81,73.41,80.12
Poland,76.6,72.6,80.8
Aruba,76.43,73.91,78.77
St. Lucia,76.34,74.98,77.72
Malaysia,76.31,74.38,78.46
Brazil,76.08,72.46,79.74
Brunei,76,74.86,77.26
Montenegro,75.93,73.2,78.8
North Macedonia,75.69,73.62,77.87
Hungary,75.62,72.3,79.1
Kuwait,75.59,74.85,76.71
Vietnam,75.49,71.41,79.61
Honduras,75.45,73.14,77.72
Latvia,75.39,70.9,80.1
Saudi Arabia,75.28,74.08,76.92
Armenia,75.22,71.45,78.65
Mexico,75.13,72.3,77.93
Lithuania,74.93,70.1,80
Belize,74.75,71.76,77.99
Nicaragua,74.7,71.16,78.19
Jordan,74.66,72.96,76.44
Jamaica,74.59,72.95,76.25
Guatemala,74.53,71.62,77.36
Paraguay,74.36,72.36,76.52
Romania,74.35,70.5,78.4
Dominican Republic,74.26,71.17,77.55
Serbia,74.23,71.4,77.2
Belarus,74.23,69.3,79.4
Mauritius,74.18,70.86,77.66
Bahamas,74.05,71.78,76.23
Georgia,73.92,69.51,78.27
Caribbean small states,73.87,71.65,76.16
Syria,73.65,69.39,78.42
Trinidad and Tobago,73.63,70.99,76.35
Bulgaria,73.61,69.9,77.5
El Salvador,73.53,68.69,78.04
Samoa,73.45,71.44,75.61
Cabo Verde,73.17,69.72,76.38
Solomon Islands,73.13,71.42,75.01
Azerbaijan,73.12,70.63,75.57
Libya,73.08,70.27,76.11
Bangladesh,72.87,71.13,74.89
World,72.75,70.57,75.06
St. Vincent and the Grenadines,72.66,70.39,75.26
North Korea,72.45,68.8,75.93
Grenada,72.43,70.1,74.98
Egypt,72.15,69.88,74.53
Bhutan,72.08,71.67,72.52
Venezuela,72.07,68.32,76
Moldova,72.01,67.73,76.25
Indonesia,71.91,69.75,74.17
Uzbekistan,71.85,69.7,73.97
Suriname,71.8,68.58,75.19
Kyrgyzstan,71.8,67.8,76
Bolivia,71.77,68.93,74.78
Greenland,71.4,69.59,73.31
Kazakhstan,71.37,67.09,75.53
Philippines,71.36,67.39,75.62
Russia,71.34,66.49,76.43
